% function evaluation | noise-free fitness - Fopt (-9.210000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
265 +4.470261140e+01 +4.470261140e+01 +3.549261140e+01 +3.549261140e+01 +4.0585e+00 +2.4575e+00 -6.0837e+00 -4.7230e+00 -9.2491e+00 +5.3168e+00 +5.9157e+00 +9.6750e-02 +4.6467e+00 -1.7566e+01 -7.3616e+00 -5.9493e+00 +1.0895e+01 +1.3230e+01 -4.9272e+00 -5.2035e+00 +1.0697e+01 +1.0674e+01 -5.8695e+00 +6.2954e+00
280 +4.226437980e+01 +4.226437980e+01 +3.305437980e+01 +3.305437980e+01 +3.4811e+00 +3.9633e+00 -6.2545e+00 -4.8069e+00 -1.0313e+01 +4.8360e+00 +7.0166e+00 +4.9341e-01 +5.5478e+00 -1.6806e+01 -6.3732e+00 -8.3173e+00 +1.0648e+01 +1.5855e+01 -4.9556e+00 -4.9906e+00 +1.2089e+01 +1.1671e+01 -6.0967e+00 +7.5674e+00
305 +3.788784568e+01 +3.788784568e+01 +2.867784568e+01 +2.867784568e+01 +4.0004e+00 +7.0902e+00 -5.5061e+00 -4.8024e+00 -8.2805e+00 +5.1981e+00 +7.0501e+00 +3.0753e+00 +4.6976e+00 -1.7934e+01 -6.3316e+00 -7.5070e+00 +9.9110e+00 +1.6948e+01 -5.9766e+00 -4.4897e+00 +1.2697e+01 +1.4354e+01 -4.8911e+00 +8.1093e+00
320 +3.325873411e+01 +3.325873411e+01 +2.404873411e+01 +2.404873411e+01 +5.0540e+00 +3.7759e+00 -4.5106e+00 -2.1922e+00 -8.5391e+00 +5.4505e+00 +6.7352e+00 +3.4626e+00 +2.9310e+00 -1.6829e+01 -6.6996e+00 -7.9736e+00 +7.7343e+00 +1.5544e+01 -6.4311e+00 -4.9847e+00 +9.5801e+00 +1.1261e+01 -4.9693e+00 +7.6869e+00
322 +3.075077771e+01 +3.075077771e+01 +2.154077771e+01 +2.154077771e+01 +4.6661e+00 +4.6575e+00 -6.3080e+00 -1.3451e+00 -1.1430e+01 +6.9757e+00 +7.8890e+00 +3.9311e+00 +3.4840e+00 -2.0449e+01 -7.0146e+00 -8.6636e+00 +8.5534e+00 +1.7138e+01 -6.3291e+00 -5.9916e+00 +1.1975e+01 +1.1932e+01 -5.5935e+00 +7.1300e+00
336 +2.587717400e+01 +2.587717400e+01 +1.666717400e+01 +1.666717400e+01 +5.0913e+00 +5.7349e+00 -5.1073e+00 -7.2362e-01 -1.3718e+01 +7.0773e+00 +8.4177e+00 +5.9489e+00 +3.1929e+00 -2.1821e+01 -6.6464e+00 -8.9286e+00 +9.5583e+00 +2.0145e+01 -8.1932e+00 -5.1388e+00 +1.1864e+01 +1.1835e+01 -6.1994e+00 +8.8995e+00
342 +1.817877881e+01 +1.817877881e+01 +8.968778807e+00 +8.968778807e+00 +5.6246e+00 +6.4701e+00 -3.9344e+00 +2.0397e+00 -1.3500e+01 +5.6721e+00 +8.3975e+00 +4.9354e+00 +4.0955e+00 -2.1118e+01 -5.1062e+00 -9.9177e+00 +9.3211e+00 +1.8214e+01 -8.0963e+00 -5.3063e+00 +1.0193e+01 +9.9327e+00 -6.0884e+00 +7.9970e+00
354 +1.618097685e+01 +1.618097685e+01 +6.970976847e+00 +6.970976847e+00 +7.4447e+00 +8.0916e+00 -4.1837e+00 +2.0485e+00 -1.2990e+01 +6.3902e+00 +9.0741e+00 +5.4940e+00 +5.0512e+00 -2.3386e+01 -4.9307e+00 -1.0614e+01 +1.0310e+01 +2.0067e+01 -7.7382e+00 -7.9341e+00 +1.0977e+01 +1.1637e+01 -6.3541e+00 +6.8651e+00
360 +1.510225773e+01 +1.510225773e+01 +5.892257727e+00 +5.892257727e+00 +5.7571e+00 +6.5961e+00 -3.0639e+00 +5.6865e+00 -1.3642e+01 +4.9239e+00 +6.5226e+00 +7.0739e+00 +3.2674e+00 -1.8988e+01 -5.0439e+00 -1.0027e+01 +9.7222e+00 +1.7374e+01 -6.4437e+00 -5.1449e+00 +1.0261e+01 +8.2707e+00 -4.9866e+00 +7.7838e+00
363 +1.417167956e+01 +1.417167956e+01 +4.961679557e+00 +4.961679557e+00 +5.7036e+00 +5.4946e+00 -3.0804e+00 +8.0163e+00 -1.5117e+01 +6.3045e+00 +6.6216e+00 +6.2286e+00 +3.5303e+00 -2.1816e+01 -5.2629e+00 -1.1307e+01 +8.7312e+00 +1.8929e+01 -5.8413e+00 -5.9252e+00 +1.0738e+01 +8.8132e+00 -5.3189e+00 +9.0625e+00
