% function evaluation | noise-free fitness - Fopt (2.997000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
15029 +3.464885765e+01 +3.464885765e+01 +6.461885765e+01 +6.461885765e+01 +8.3849e-01 -1.7368e+00 -3.6515e+00 -1.9169e+00 +3.1516e+00 +3.4422e+00 -3.9551e+00 -2.9351e+00 +8.4133e-01 -1.7467e+00 +1.2882e+00 -1.6626e+00 +3.9874e+00 +2.2579e+00 -1.4833e+00 +2.6311e+00 -2.6799e+00 -9.7203e-01 +1.5498e+00 -3.3256e+00
15471 +3.150714188e+01 +3.150714188e+01 +6.147714188e+01 +6.147714188e+01 +9.3580e-01 -1.6831e+00 -3.6797e+00 -1.8953e+00 +3.0155e+00 +3.3085e+00 -3.9247e+00 -2.9123e+00 +8.2597e-01 -1.8790e+00 +1.2982e+00 -1.6202e+00 +3.9829e+00 +2.3904e+00 -1.5503e+00 +2.7737e+00 -2.6615e+00 -9.7134e-01 +1.4965e+00 -3.3696e+00
16064 +2.954959951e+01 +2.954959951e+01 +5.951959951e+01 +5.951959951e+01 +8.7471e-01 -1.7203e+00 -3.6928e+00 -1.9572e+00 +3.0578e+00 +3.2816e+00 -3.9204e+00 -3.0326e+00 +8.0659e-01 -1.8431e+00 +1.1978e+00 -1.5803e+00 +4.0615e+00 +2.3488e+00 -1.5455e+00 +2.7026e+00 -2.7269e+00 -7.3147e-01 +1.5295e+00 -3.3854e+00
16384 +2.880497097e+01 +2.880497097e+01 +5.877497097e+01 +5.877497097e+01 +8.0239e-01 -1.8089e+00 -3.6321e+00 -1.9148e+00 +3.1188e+00 +3.3443e+00 -3.9104e+00 -2.8885e+00 +8.8115e-01 -1.7850e+00 +1.3314e+00 -1.6944e+00 +4.0295e+00 +2.4057e+00 -1.5077e+00 +2.6608e+00 -2.6054e+00 -9.2086e-01 +1.4820e+00 -3.2723e+00
16398 +2.417611960e+01 +2.417611960e+01 +5.414611960e+01 +5.414611960e+01 +8.3564e-01 -1.7874e+00 -3.6116e+00 -1.9210e+00 +3.1452e+00 +3.3264e+00 -3.9175e+00 -2.8643e+00 +8.9101e-01 -1.7368e+00 +1.2812e+00 -1.7148e+00 +4.0308e+00 +2.3651e+00 -1.5085e+00 +2.6995e+00 -2.6598e+00 -9.4881e-01 +1.4890e+00 -3.3031e+00
17273 +2.386470450e+01 +2.386470450e+01 +5.383470450e+01 +5.383470450e+01 +8.8891e-01 -1.6574e+00 -3.6277e+00 -1.9464e+00 +3.0973e+00 +3.2968e+00 -3.9327e+00 -2.9428e+00 +8.7250e-01 -1.7281e+00 +1.2695e+00 -1.6784e+00 +4.0404e+00 +2.3560e+00 -1.4775e+00 +2.6863e+00 -2.5773e+00 -9.0028e-01 +1.5036e+00 -3.3430e+00
17880 +2.305965119e+01 +2.305965119e+01 +5.302965119e+01 +5.302965119e+01 +8.4915e-01 -1.7722e+00 -3.6227e+00 -1.9544e+00 +3.1349e+00 +3.3224e+00 -3.9685e+00 -2.9785e+00 +8.3765e-01 -1.7685e+00 +1.2374e+00 -1.6205e+00 +4.0576e+00 +2.3407e+00 -1.4879e+00 +2.6889e+00 -2.6164e+00 -8.7641e-01 +1.5453e+00 -3.3120e+00
17977 +1.984363632e+01 +1.984363632e+01 +4.981363632e+01 +4.981363632e+01 +8.6242e-01 -1.6403e+00 -3.6616e+00 -1.8981e+00 +3.0804e+00 +3.3159e+00 -3.9165e+00 -2.9024e+00 +8.0247e-01 -1.7579e+00 +1.2081e+00 -1.6769e+00 +3.9763e+00 +2.3537e+00 -1.5170e+00 +2.6714e+00 -2.5776e+00 -9.3151e-01 +1.5270e+00 -3.2925e+00
19137 +1.605121876e+01 +1.605121876e+01 +4.602121876e+01 +4.602121876e+01 +8.8017e-01 -1.7162e+00 -3.6373e+00 -1.9345e+00 +3.1036e+00 +3.3041e+00 -3.9569e+00 -2.9427e+00 +8.2702e-01 -1.7436e+00 +1.2483e+00 -1.6764e+00 +4.0368e+00 +2.3735e+00 -1.5032e+00 +2.7139e+00 -2.6139e+00 -8.9364e-01 +1.5004e+00 -3.3642e+00
20222 +1.470984421e+01 +1.470984421e+01 +4.467984421e+01 +4.467984421e+01 +8.9844e-01 -1.7268e+00 -3.6493e+00 -1.9132e+00 +3.0619e+00 +3.3108e+00 -3.9592e+00 -2.9327e+00 +7.8734e-01 -1.7700e+00 +1.2399e+00 -1.6173e+00 +3.9905e+00 +2.3655e+00 -1.5065e+00 +2.6951e+00 -2.6540e+00 -9.4705e-01 +1.5164e+00 -3.3684e+00
