% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
36228 +6.292807950e+01 +6.292807950e+01 -3.991619205e+02 -3.991619205e+02 -3.3564e+00 +4.9751e+00 -5.1959e-01 -1.8639e+00 -8.0980e-02 +3.6775e+00 +2.5785e+00 +1.8827e+00 +2.4022e+00 +1.1308e+00 -3.3102e+00 -4.3105e+00 -1.2534e-01 -1.9920e+00 -9.1035e-01 -3.4596e+00 -7.0210e-01 +3.3684e+00 -2.8312e+00 +2.4460e+00
38127 +6.153060021e+01 +6.153060021e+01 -4.005593998e+02 -4.005593998e+02 -3.3521e+00 +4.9647e+00 -5.2136e-01 -1.8451e+00 -1.2210e-01 +3.6372e+00 +2.5518e+00 +1.8773e+00 +2.3906e+00 +1.1315e+00 -3.3135e+00 -4.2883e+00 -1.3866e-01 -2.0151e+00 -9.0824e-01 -3.4596e+00 -7.0855e-01 +3.3595e+00 -2.8281e+00 +2.4394e+00
126897 +6.001411842e+01 +6.001411842e+01 -4.020758816e+02 -4.020758816e+02 +3.3567e-01 +2.4147e+00 +2.1773e+00 -1.1545e-01 +2.3117e+00 +4.2259e+00 +2.5867e+00 +2.5323e+00 +1.1378e+00 -4.6989e-01 -3.3281e+00 -4.2225e+00 -5.8433e-01 -2.9156e+00 -1.4478e+00 -3.0395e+00 -3.1643e-01 +2.9927e+00 -2.4850e+00 +1.7965e+00
127055 +5.136308083e+01 +5.136308083e+01 -4.107269192e+02 -4.107269192e+02 +4.4636e-01 +2.2966e+00 +2.2517e+00 -1.2314e-01 +2.2840e+00 +3.7215e+00 +2.5396e+00 +2.4948e+00 +1.2591e+00 +6.8919e-02 -3.2273e+00 -4.2709e+00 -5.9472e-01 -2.9901e+00 -1.4449e+00 -3.0344e+00 -3.6555e-01 +3.0198e+00 -2.4815e+00 +1.8330e+00
127078 +5.050543515e+01 +5.050543515e+01 -4.115845649e+02 -4.115845649e+02 +5.1252e-01 +2.3695e+00 +2.1740e+00 -1.1615e-01 +2.3077e+00 +3.6935e+00 +2.4855e+00 +2.5545e+00 +1.3022e+00 +4.4810e-02 -3.1910e+00 -4.3461e+00 -6.5175e-01 -2.9514e+00 -1.4085e+00 -3.0315e+00 -3.1621e-01 +3.0114e+00 -2.5027e+00 +1.8146e+00
127856 +4.805196682e+01 +4.805196682e+01 -4.140380332e+02 -4.140380332e+02 +4.7531e-01 +2.3871e+00 +2.2106e+00 -1.3439e-01 +2.2913e+00 +3.5845e+00 +2.5787e+00 +2.5287e+00 +1.1290e+00 -5.9857e-01 -3.3467e+00 -4.2862e+00 -6.5109e-01 -2.9618e+00 -1.4143e+00 -3.0057e+00 -4.0704e-01 +2.9052e+00 -2.4205e+00 +1.7759e+00
128071 +4.747165501e+01 +4.747165501e+01 -4.146183450e+02 -4.146183450e+02 +7.0773e-01 +2.3756e+00 +2.2687e+00 -2.0531e-01 +2.3033e+00 +3.8277e+00 +2.5983e+00 +2.5822e+00 +1.0856e+00 -6.1483e-01 -3.3836e+00 -4.3722e+00 -5.3195e-01 -2.9463e+00 -1.3903e+00 -3.0249e+00 -3.4048e-01 +2.9636e+00 -2.4208e+00 +1.7584e+00
128208 +4.615956442e+01 +4.615956442e+01 -4.159304356e+02 -4.159304356e+02 +5.7240e-01 +2.4437e+00 +2.2916e+00 -2.1374e-01 +2.2961e+00 +3.5024e+00 +2.4311e+00 +2.5236e+00 +1.1195e+00 -6.0238e-01 -3.3231e+00 -4.2137e+00 -5.9503e-01 -2.9517e+00 -1.3981e+00 -3.0160e+00 -3.4398e-01 +2.9476e+00 -2.4258e+00 +1.8333e+00
128235 +4.327394049e+01 +4.327394049e+01 -4.188160595e+02 -4.188160595e+02 +6.6042e-01 +2.2711e+00 +2.2573e+00 -1.9315e-01 +2.3802e+00 +3.4054e+00 +2.5021e+00 +2.5698e+00 +1.1174e+00 -5.2257e-01 -3.3689e+00 -4.2693e+00 -6.3411e-01 -2.8872e+00 -1.4112e+00 -3.0171e+00 -3.2881e-01 +2.9719e+00 -2.4503e+00 +1.8673e+00
128443 +4.068455399e+01 +4.068455399e+01 -4.214054460e+02 -4.214054460e+02 +7.5306e-01 +2.2912e+00 +2.2742e+00 -1.7811e-01 +2.2972e+00 +3.7124e+00 +2.6204e+00 +2.5093e+00 +1.1360e+00 -5.3644e-01 -3.2333e+00 -4.2658e+00 -6.0207e-01 -3.0426e+00 -1.3955e+00 -3.0251e+00 -3.6452e-01 +2.9347e+00 -2.4329e+00 +1.8436e+00
